id,name,type,region,locality,lat,lon
85,Tower complex Targ,architecture,The Republic of Ingushetia,Targim,44.942354,42.835125
86,Tower complex Tori,architecture,The Republic of Ingushetia,,44.920534,42.843085
87,Tower complex Cori,architecture,The Republic of Ingushetia,,45.094394,42.806319
88,Tower complex Soan,architecture,The Republic of Ingushetia,Shoani,Not found,
89,Tower complex Erzi,architecture,The Republic of Ingushetia,,44.759574,42.80362
90,Tower complex in the village of Egikal,architecture,The Republic of Ingushetia,Egikkhal,Not found,
91,towers Tuaeva,architecture,Republic of North Ossetia - Alania,medicine,43.910711,42.671548
92,Towers kind Gagieva,architecture,The Republic of Ingushetia,Alkun,45.012818,42.979241
93,tower Abisalova,architecture,Republic of North Ossetia - Alania,Dunta,43.849886,42.900978
94,tower Bzykovyh,architecture,Republic of North Ossetia - Alania,Donisar,44.19872,42.862933
95,tower Bubleyka,architecture,Smolensk region,Smolensk,32.045251,54.782635
96,Thunder tower,architecture,Smolensk region,Smolensk,32.045251,54.782635
97,tower Dolgochevskaya,architecture,Smolensk region,Smolensk,32.045251,54.782635
98,tower Eloeva,architecture,Republic of North Ossetia - Alania,,44.262033,43.092669
99,tower Kantemirovs,architecture,Republic of North Ossetia - Alania,Quss,43.633689,42.904042
100,"Tower Kokui and ""Time Gallery""",architecture,Novgorod region,Novgorod,Not found,
101,Kurt and Taga Tower,architecture,Republic of North Ossetia - Alania,upper Fiagdon,44.306958,42.83418
102,tower Mamsurova,architecture,Republic of North Ossetia - Alania,,44.262033,43.092669
103,Tower Moss (Makhovaia),architecture,Smolensk region,Smolensk,32.045251,54.782635
104,Eagle tower,architecture,Smolensk region,Smolensk,32.045251,54.782635
105,tower Pozdnyakov,architecture,Smolensk region,Smolensk,32.045251,54.782635
106,Town Hall tower,architecture,Leningrad region,Vyborg,28.730117,60.714211
107,Concorde tower,architecture,The Republic of Ingushetia,Magas,44.81624,43.171501
108,tower Taymazov,architecture,Republic of North Ossetia - Alania,Quss,43.633689,42.904042
109,tower Hatagovyh,architecture,Republic of North Ossetia - Alania,Donifars,43.7646,42.999975
110,tower Hestanovyh,architecture,Republic of North Ossetia - Alania,Donisar,44.19872,42.862933
111,Shamil tower,architecture,Kursk region,Lgov,35.259432,51.656942
112,tower of the winds,architecture,Sevastopol,,33.525369,44.616604
113,tower lovers,architecture,Kabardino-Balkar Republic,Nalchik,43.607072,43.485259
114,tower krovniki,architecture,Republic of North Ossetia - Alania,,44.262033,43.092669
115,Tower krovniki over Kahtisarom,architecture,Republic of North Ossetia - Alania,Koban,Not found,
116,The clock tower at the State Bank,architecture,Nizhny Novgorod Region,Nizhny Novgorod,Not found,
117,White Tower,architecture,Sverdlovsk region,Ekaterinburg,61.372065,57.389991
118,White tower of Nizhny Novgorod Kremlin,architecture,Nizhny Novgorod Region,Nizhny Novgorod,44.448685,55.830038
119,The Kremlin Bilozerske,architecture,Vologda Region,Shi's,37.789016,60.030843
120,Belozersky Kremlin and the city wall,architecture,Vologda Region,Shi's,37.789016,60.030843
121,Belorussky Train Station,architecture,Moscow,,37.581496,55.776618
122,The White house,architecture,Irkutsk region,Irkutsk,104.357736,52.249324
123,birch house,architecture,Leningrad region,,28.617441,60.300988
124,AN gazebo Ostrovsky,architecture,Kostroma region,Kostroma,40.913797,57.771907
125,arbor Shamil,architecture,The Republic of Dagestan,Guniʙ,46.964318,42.387091
126,Arbor on the Volga embankment,architecture,Yaroslavskaya oblast,Yaroslavl,Not found,
127,Academy of Sciences Library,architecture,St. Petersburg,St. Petersburg,30.315868,59.939095
128,Biryuchanskie shopping arcade,architecture,Belgorod region,lone wolf,38.400553,50.648389
129,Annunciation tower,architecture,Mari El Republic,Yoshkar-Ola,47.886178,56.631595
130,Grace Church of Evangelical Christians-Baptists,architecture,Krasnoyarsk region,Krasnoyarsk,Not found,
131,Nobility,architecture,Perm,Permian,56.229434,58.01045
132,Blinovskii passage,architecture,Nizhny Novgorod Region,Nizhny Novgorod,44.006516,56.326797
133,Blockade substation,architecture,St. Petersburg,St. Petersburg,30.315868,59.939095
134,Epiphany (winter) Cathedral,architecture,Yaroslavskaya oblast,Uglich,38.319372,57.526592
135,Battle Tower Beck Cheldieva,architecture,Republic of North Ossetia - Alania,Zgil,Not found,
136,Battle Tower Botsiev,architecture,Republic of North Ossetia - Alania,medicine,43.910711,42.671548
137,Battle Tower Gabisova in Halgone,architecture,Republic of North Ossetia - Alania,,Not found,
138,Battle Tower in the village Zubanchi,architecture,The Republic of Dagestan,,Not found,
139,Large living room series,architecture,The Republic of Buryatia,Ulan-Ude,107.584574,51.834464
140,Large living room series,architecture,The Republic of Buryatia,,110.71311,54.934805
141,Large flour series,architecture,Kostroma region,Kostroma,40.924792,57.767568
142,Big Gostiny Dvor,architecture,St. Petersburg,St. Petersburg,30.329514,59.929245
143,Big house on Foundry,architecture,St. Petersburg,St. Petersburg,30.315868,59.939095
144,Boris and Gleb Tower of Nizhny Novgorod Kremlin,architecture,Nizhny Novgorod Region,Nizhny Novgorod,Not found,
145,Botnia house,architecture,St. Petersburg,St. Petersburg,30.278606,59.958525
146,Brandenburg,architecture,Kaliningrad region,Ushakovo,20.235639,54.608973
147,Former Perm Theological Seminary,architecture,Perm,Permian,56.234914,58.009129
148,The former gymnasium,architecture,Bryansk region,Starodub,32.760346,52.585277
149,Former religious school,architecture,Perm,Permian,56.229434,58.01045
150,The former building of the Mutual Credit Bank,architecture,Transbaikal region,Сретенск,Not found,
151,The former building of the theater 501st construction,architecture,Yamalo-Nenets Autonomous Okrug,Salekhard,Not found,
152,Former farmstead Yugskoy Dorofeeva desert,architecture,Yaroslavskaya oblast,Rybinsk,Not found,
153,Former bath Kashinskaya,architecture,Perm,Permian,56.553313,61.23108
154,The former house of the Noble Assembly,architecture,Smolensk region,Smolensk,34.207091,55.489667
155,The former house of the Noble Assembly in Smolensk,architecture,Smolensk region,Smolensk,32.045251,54.782635
156,Engelhardt's former home in Smolensk,architecture,Smolensk region,Smolensk,Not found,
157,The former house of the governor of Smolensk,architecture,Smolensk region,Smolensk,32.082333,54.770842
158,The former house of the merchant Lanina,architecture,Smolensk region,Smolensk,34.207091,55.489667
159,A former trading house of Faberge,architecture,St. Petersburg,St. Petersburg,30.332424,59.928807
160,Bathing building of Nicholas II (Upper Bath),architecture,Stavropol region,Essentuki,Not found,
161,bath Ostrovsky,architecture,Stavropol region,Zheleznovodsk,43.136875,44.084718
162,Vvedenskyy castle,architecture,Republic of Crimea,Izobilnoye,34.352142,44.706694
163,widows Home,architecture,Nizhny Novgorod Region,Nizhny Novgorod,43.982909,56.31231
164,Verhnebazarny trade body,architecture,Nizhny Novgorod Region,Nizhny Novgorod,44.006516,56.326797
165,Windmill,architecture,Belgorod region,Menyaylovo,38.752899,50.528627
166,Windmill,architecture,Belgorod region,Demidovka,35.392104,50.947035
167,wine warehouse,architecture,Perm,Solikamsk,56.572573,59.755304
168,Vitebsk Station,architecture,St. Petersburg,,30.329181,59.919901
169,Vladimir square,architecture,St. Petersburg,St. Petersburg,30.34748,59.928257
170,Vlasievskaya tower,architecture,Pskov region,Pskov,28.332451,57.819274
171,Water tower,architecture,Komi Republic,Inta,60.115367,66.03682
172,Water tower,architecture,Krasnoyarsk region,Khanabadskiy,94.328297,55.813172
173,Water tower,architecture,Novosibirsk region,Novosibirsk,82.901278,54.983763
174,Water tower,architecture,Sverdlovsk region,Ekaterinburg,60.597465,56.838011
175,Water tower,architecture,Yaroslavskaya oblast,Rybinsk,38.858406,58.048454
176,Water tower in Staraya Russa,architecture,Novgorod region,Staraya Russa,31.355452,57.990715
177,Water tower in Vladimir,architecture,Vladimir region,,Not found,
178,Water tower with a chimney,architecture,Novosibirsk region,curse,Not found,
179,Water towers,architecture,Kurgan region,Mound,65.341118,55.441004
180,Water Mill,architecture,Kursk region,Krasnikov,36.402637,51.235774
181,Watermill in the village of Loch,architecture,Saratov region,goof,Not found,
182,Military sanatorium in Gurzuf,architecture,Republic of Crimea,,36.390456,45.225904
183,Station Orenburg,architecture,Orenburg region,Orenburg,55.074327,51.776581
184,Volga-Don channel,architecture,Volgograd region,,43.52943,48.62269
185,Volgograd Conservatory. PA Serebryakov,architecture,Volgograd region,Volgograd,44.335848,48.683577
186,Volgograd State Medical University,architecture,Volgograd region,Volgograd,44.543296,48.734296
187,Volgograd State Pedagogical University (main building),architecture,Volgograd region,Volgograd,44.543296,48.734296
188,Volgograd State Technical University,architecture,Volgograd region,Volgograd,44.543296,48.734296
189,Volgogradsky Technical College (hydromeliorative College),architecture,Volgograd region,Volgograd,44.543296,48.734296
190,Volgograd Regional Statistics Office (1st Mariinsky female grammar school),architecture,Volgograd region,Volgograd,Not found,
191,Volzhskaya HPP,architecture,Volgograd region,Volzhsky,44.780487,48.771558
192,Gateway to the Valley of the Kings,architecture,The Republic of Khakassia,the reeds,Not found,
193,Gate tower of the Gostiny Dvor,architecture,Novgorod region,Novgorod,Not found,
194,foundling-hospital,architecture,St. Petersburg,St. Petersburg,30.278606,59.958525
195,The second male gymnasium,architecture,Kirov region,Kirov,49.668014,58.603591
196,The second fire station in Blagoveshchensk,architecture,Amur region,Blagoveshchensk,127.527173,50.29064
197,Red Gate Building,architecture,Moscow,,Not found,
198,"Exhibition Complex ""Sestroretsky abroad""",architecture,St. Petersburg,St. Petersburg,30.315868,59.939095
199,Vyatskaya women's gymnasium,architecture,Kirov region,Kirov,49.747317,58.608011
200,Vyatka State Pedagogical University,architecture,Kirov region,Kirov,49.745916,58.641864
201,Vyatskoe zemskoe Realschule,architecture,Kirov region,Kirov,48.734871,58.057617
202,Gum,architecture,Primorsky Krai,Vladivostok,131.885485,43.115536
203,Galernaya Harbor,architecture,St. Petersburg,St. Petersburg,30.223961,59.93571
204,Gauptvahta,architecture,Kostroma region,Kostroma,40.926858,57.767961
205,St. George Tower of Nizhny Novgorod Kremlin,architecture,Nizhny Novgorod Region,Nizhny Novgorod,Not found,
206,St. George's Cathedral in Gus-Crystal,architecture,Vladimir region,,41.705563,55.660287
207,Gerdauen,architecture,Kaliningrad region,Railway,21.305308,54.360931
208,Gymnasium named AL Kekin,architecture,Yaroslavskaya oblast,Rostov,39.414526,57.185866
209,Gymnasium №2 them. VG Korolenko,architecture,Republic of Crimea,Kerch,36.467378,45.356219
210,School №32,architecture,Ivanovo region,Ivanovo,40.973921,57.000348
211,The main building of the Mariinsky Hospital,architecture,St. Petersburg,St. Petersburg,30.320818,59.922165
212,The main gate of the park Mon Repos,architecture,Leningrad region,Vyborg,28.72576,60.732374
213,Main House merchant Dementieva,architecture,Krasnoyarsk region,Pitorafik,Not found,
214,Main house Estate MI Sizova,architecture,Nizhny Novgorod Region,Nizhny Novgorod,Not found,
215,The main building of the Izhevsk arms factory,architecture,Udmurt republic,Izhevsk,Not found,
216,post office,architecture,Primorsky Krai,Vladivostok,131.885485,43.115536
217,post office,architecture,St. Petersburg,,30.315868,59.939095
218,post office,architecture,Sverdlovsk region,Ekaterinburg,60.597465,56.838011
219,post office,architecture,Volgograd region,Volgograd,44.516948,48.707067
220,Glebov house,architecture,St. Petersburg,St. Petersburg,30.278606,59.958525
221,Dutch house of Peter I,architecture,Moscow,,37.804979,55.736371
222,The mountain Institute,architecture,St. Petersburg,St. Petersburg,30.318545,59.916342
223,Chess City in Elista,architecture,Republic of Kalmykia,Elista,44.261638,46.307319
224,The policeman magistrate,architecture,Perm,Kungur,56.944206,57.42881
225,City fire station,architecture,Kirov region,Kirov,49.668014,58.603591
226,City Public Library,architecture,Yaroslavskaya oblast,Uglich,38.319372,57.526592
227,City telephone station,architecture,Amur region,Blagoveshchensk,127.527173,50.29064
228,City Government,architecture,Perm,Kungur,56.944206,57.42881
229,city ​​power,architecture,Amur region,Blagoveshchensk,127.527173,50.29064
230,City Nikolaev School,architecture,Tyumen region,Tyumen,69.420835,56.107122
231,City Women's College,architecture,Novosibirsk region,Novosibirsk,82.923619,55.012532
232,Urban apartment building,architecture,Novosibirsk region,Novosibirsk,82.958761,55.041787
233,"Гостиница &quot;Арктика&quot;, самое высокое в мире здание за Полярным кругом",architecture,Murmansk region,Murmansk,Not found,
234,"Hotel ""Bristol""",architecture,Voronezh region,Voronezh,39.200269,51.660781
235,"The hotel ""Versailles""",architecture,Primorsky Krai,Vladivostok,131.885485,43.115536
236,"Hotel ""Volgograd""",architecture,Volgograd region,Volgograd,44.516948,48.707067
237,"Hotel ""Imperial""",architecture,Republic of North Ossetia - Alania,Vladikavkaz,44.68196,43.02115
238,"Hotel ""Leningrad""",architecture,Moscow,,37.44497,55.881485
239,"Hotel ""Metropol""",architecture,Moscow,,37.56609,55.752825
240,"Hotel ""National""",architecture,Moscow,,37.56609,55.752825
241,"Hotel ""Ukraine""",architecture,Moscow,,Not found,
242,"Hotel ""Central""",architecture,Kirov region,Kirov,49.578524,58.637574
243,Hotel AE Lukyanov,architecture,Amur region,Blagoveshchensk,128.923622,51.639551
244,Hotel Central,architecture,Ivanovo region,Ivanovo,40.902442,57.004211
245,Hotel merchant VY Atamanova,architecture,Sverdlovsk region,Ekaterinburg,Not found,
246,Hotel Nikitin merchants,architecture,Nizhny Novgorod Region,Nizhny Novgorod,44.006516,56.326797
247,Living series,architecture,The Republic of Buryatia,Kyakhtinsky,106.449903,50.355214
248,Gostiny Dvor,architecture,Perm,Kungur,56.944206,57.42881
249,Gostiny Dvor,architecture,Arhangelsk region,Arkhangelsk,46.504372,61.61071
250,Gostiny Dvor,architecture,Tyumen region,Tyumen,65.554513,57.229939
251,Gostiny Dvor,architecture,Tyumen region,Tobolsk,68.253762,58.201698
252,Gostiny Dvor (red series),architecture,Kostroma region,Kostroma,46.655361,59.192647
253,Gostiny Dvor in Kaluga,architecture,Kaluga region,Kaluga,36.255268,54.568625
254,Urban complexes on the street Volgodonsk,architecture,Volgograd region,Volgograd,43.721652,48.635284
255,Count's quay,architecture,Sevastopol,,33.526941,44.616969
256,Gremyachaya tower,architecture,Pskov region,Pskov,28.349043,57.823386
257,Gross Vonsdorf,architecture,Kaliningrad region,spa,21.126902,54.465387
258,The Governor's House,architecture,Yaroslavskaya oblast,Yaroslavl,39.857944,57.640937
259,Zemstvo council,architecture,Perm,Permian,56.229434,58.01045
260,Provincial Treasury Chamber,architecture,Perm,Permian,55.272576,59.079399
261,provincial shelter,architecture,Perm,Permian,56.229434,58.01045
262,Gubstrahkassa,architecture,Ivanovo region,Ivanovo,40.973921,57.000348
263,"Palace ""Dulber""",architecture,Republic of Crimea,,33.993751,45.389194
264,Matrimonial Palace,architecture,Astrakhan region,Astrakhan,48.033574,46.347869
265,Matrimonial Palace,architecture,Tambov Region,Tambov,41.452274,52.721219
266,Wedding Palace on Furshtatskaya,architecture,St. Petersburg,St. Petersburg,30.297668,59.929263
267,The palace of the military governor,architecture,Nizhny Novgorod Region,Nizhny Novgorod,44.006516,56.326797
268,Palace of childhood and adolescence,architecture,Sevastopol,,Not found,
269,Palace of Arts,architecture,Ivanovo region,Ivanovo,40.986569,56.994474
270,"Palace of Culture ""Aviator""",architecture,Yaroslavskaya oblast,Rybinsk,38.858406,58.048454
271,Palace of Culture LVRZ,architecture,The Republic of Buryatia,Ulan-Ude,106.39507,52.172408
272,Palace of culture of railwaymen,architecture,Sverdlovsk region,Ekaterinburg,60.626122,56.852485
273,Palace of Culture named after M. Gorky,architecture,Novosibirsk region,Novosibirsk,82.920196,55.027144
274,Palace of Culture Communication Workers,architecture,St. Petersburg,St. Petersburg,30.380161,60.051163
275,Palace of Pioneers,architecture,Primorsky Krai,Vladivostok,Not found,
276,Palace of labor,architecture,Nizhny Novgorod Region,Nizhny Novgorod,43.872182,56.347504
277,Palace of labor,architecture,Novosibirsk region,Novosibirsk,82.869872,54.99476
278,The palace of the Emir of Bukhara,architecture,Stavropol region,Zheleznovodsk,43.030533,44.132058
279,The palace of the Emir of Bukhara in Yalta,architecture,Republic of Crimea,,Not found,
280,Palace Square,architecture,St. Petersburg,St. Petersburg,30.315311,59.938924
281,"The palace and park ensemble ""Gostilitsy""",architecture,Leningrad region,Gostilitsy,29.637658,59.725852
282,"The palace and park ensemble ""Ropsha""",architecture,Leningrad region,ROPS,29.862381,59.729409
283,"The palace and park complex ""The Priory""",architecture,Leningrad region,,30.123359,59.560091
284,Noble assembly,architecture,Orenburg region,Orenburg,55.096955,51.768199
285,Noble assembly,architecture,Kostroma region,Kostroma,40.926858,57.767961
286,Noble assembly,architecture,Tula region,Tula,37.617348,54.193122
287,A two-storey brick mansion,architecture,Novosibirsk region,Novosibirsk,82.952868,55.034425
288,Maiden bath,architecture,The Republic of Dagestan,Derbent,48.288776,42.057669
289,Business Building (Building Industrial Bank),architecture,Sverdlovsk region,Ekaterinburg,60.675322,56.833161
290,Demwtov restaurant,architecture,St. Petersburg,St. Petersburg,30.315868,59.939095
291,Denisova cave,architecture,Altai region,,83.020834,51.170746
292,Wooden manor tradesman G. Mashkov,architecture,Tyumen region,Tyumen,65.961387,57.136167
293,Wooden building in the Art Nouveau style,architecture,Novosibirsk region,Novosibirsk,82.92043,55.030199
294,Wooden architecture,architecture,Omsk region,Omsk,73.368212,54.989342
295,Wooden house fishing producer Tyumen tradesman Gorkushenko,architecture,Khanty-Mansi Autonomous Area,The October,Not found,
296,Wooden house,architecture,Tyumen region,Tyumen,65.523036,57.151969
297,Wooden Condo,architecture,Novosibirsk region,Novosibirsk,82.958761,55.041787
298,Toy railway,architecture,Novosibirsk region,,Not found,
299,Demetrius tower of Nizhny Novgorod Kremlin,architecture,Nizhny Novgorod Region,Nizhny Novgorod,Not found,
300,Demetrius Cathedral,architecture,Vladimir region,Vladimir,40.560884,55.907147
301,Dnieper gates gate Odigitrievsky church,architecture,Smolensk region,Smolensk,Not found,
302,Dovmont town,architecture,Pskov region,Pskov,28.332451,57.819274
303,House,architecture,Kurgan region,Mound,65.334893,55.430319
304,Дом &quot;Корабль&quot;,architecture,Ivanovo region,Ivanovo,Not found,
305,Дом &quot;Подкова&quot;,architecture,Ivanovo region,Ivanovo,Not found,
306,"House of ""Aeroflot""",architecture,Novosibirsk region,Novosibirsk,82.958761,55.041787
307,House AA Delvig,architecture,St. Petersburg,St. Petersburg,30.368285,59.927189
308,House AA Drozzhilova,architecture,Sverdlovsk region,Ekaterinburg,60.565342,56.845884
309,"House AG Morozov, 1905 (Museum A. Green)",architecture,Kirov region,Kirov,49.661079,58.560004
310,House Rubinstein,architecture,St. Petersburg,St. Petersburg,30.344363,59.929484
311,House AD Andreeva,architecture,Sverdlovsk region,Ekaterinburg,60.056635,56.750048
312,House AD Usanina,architecture,Sverdlovsk region,Ekaterinburg,60.056635,56.750048
313,House Titov,architecture,The Republic of Buryatia,Ulan-Ude,107.660823,51.869022
314,House AY Levitical,architecture,Kirov region,Kirov,49.594567,58.508738
315,AA house Zotov,architecture,Sverdlovsk region,Ekaterinburg,60.565342,56.845884
316,AA house Titova,architecture,Yaroslavskaya oblast,Rostov,Not found,
317,A. house Ekimov (Vasnetsov House),architecture,Kirov region,Kirov,49.594567,58.508738
318,I'm at home. Düringer,architecture,Ivanovo region,Ivanovo,40.940306,57.021672
319,house Balandin,architecture,Sverdlovsk region,Ekaterinburg,60.675322,56.833161
320,house Balahovit,architecture,Republic of North Ossetia - Alania,Galiat,43.847811,42.920194
321,house Baur,architecture,St. Petersburg,St. Petersburg,30.295683,59.920154
322,Home Bender,architecture,Saratov region,Saratov,46.076037,51.58032
323,Bilibin house in Kaluga,architecture,Kaluga region,Kaluga,36.267863,54.530567
324,house Bolkonski,architecture,Yaroslavskaya oblast,Yaroslavl,39.857944,57.640937
325,house Botkin,architecture,St. Petersburg,St. Petersburg,30.295683,59.920154
326,house Butyrina,architecture,Vologda Region,Vologda,39.88103,59.227647
327,House Belousov,architecture,Sverdlovsk region,Ekaterinburg,60.675322,56.833161
328,House VMBekhterev,architecture,St. Petersburg,St. Petersburg,30.553796,60.175857
329,VV house Nikitin,architecture,Novosibirsk region,Novosibirsk,82.972038,55.021664
330,VM house spondylitis,architecture,Kirov region,Kirov,49.689313,58.521682
331,VM house Lukin / Far Eastern District Medical Center,architecture,Amur region,Blagoveshchensk,Not found,
332,VS house Popova,architecture,Tyumen region,Tyumen,65.397784,57.272057
333,House VY Zhmakin,architecture,Kirov region,Kirov,49.594567,58.508738
334,house V.Ya.Safyanschikova,architecture,Pskov region,Pskov,Not found,
